Date,GOOGL,EBAY,FB,YHOO,WU,VRSN,NFLX,TSS,FIS,ADP,VALUE
2015/12/30,790.299988,27.75,106.220001,33.369999,18.087204,88.139999,116.709999,50.040383,60.737495,85.844481,1377.199549
2015/12/31,778.01001,27.48,104.660004,33.259998,17.759969,87.360001,114.379997,49.691145,60.349106,84.194776,1357.145006
2016/1/4,759.440002,26.43,102.220001,31.4,17.472399,83.949997,109.959999,48.134558,59.661964,81.561204,1320.230124
2016/1/5,761.530029,26.120001,102.730003,32.200001,17.402984,81.410004,107.660004,48.443878,60.040392,81.759961,1319.297257
2016/1/6,759.330017,26.41,102.970001,32.16,17.006335,81.019997,117.68,47.795301,58.934987,80.756228,1324.062866
2016/1/7,741,25.690001,97.919998,30.16,16.907172,80.550003,114.559998,46.348469,58.944944,78.291599,1290.372184
2016/1/8,730.909973,25.75,97.330002,30.629999,16.768346,78.150002,111.389999,45.430478,57.889335,77.645627,1271.893761
2016/1/11,733.070007,26.1,97.510002,30.17,16.728682,78.07,114.970001,45.360632,58.695979,78.023276,1278.698579
2016/1/12,745.340027,26.209999,99.370003,30.690001,16.887341,79.290001,116.580002,46.398359,59.741635,78.977324,1299.484692
2016/1/13,719.570007,25.41,95.440002,29.440001,16.451026,76.089996,106.559998,44.851748,58.875234,76.860524,1249.548536
2016/1/14,731.390015,25.860001,98.370003,30.32,16.986502,75.650002,107.059998,45.759759,60.050349,78.500296,1269.946925
2016/1/15,710.48999,25.26,94.970001,29.139999,16.500607,74.25,104.040001,45.181025,58.217967,77.43693,1235.48652
2016/1/19,719.080017,25.77,95.260002,29.74,16.302283,74.599998,107.889999,45.011398,58.466932,78.619555,1250.740184
2016/1/20,718.559998,25.82,94.349998,28.780001,16.36178,74.139999,107.739998,44.761945,57.650327,77.735073,1245.899119
2016/1/21,726.669983,26.09,94.160004,29.309999,16.768346,73.849998,102.349998,45.091221,57.809664,78.758687,1250.8579
2016/1/22,745.460022,26.43,97.940002,29.75,17.264157,75.209999,100.720001,45.380588,59.20387,80.607156,1277.965795
2016/1/25,733.619995,26.139999,97.010002,29.780001,16.798095,74.620003,99.120003,45.131135,58.606351,79.593475,1260.419059
2016/1/26,733.789978,26.65,97.339996,29.98,17.155078,75.150002,97.830002,45.899452,59.791427,80.388519,1263.974454
2016/1/27,717.580017,26.42,94.449997,29.690001,16.708849,74.739998,91.150002,39.134273,58.56652,79.981064,1228.420721
2016/1/28,748.299988,23.129999,109.110001,28.75,16.976587,77.080002,94.410004,37.877025,57.969002,80.249387,1273.851995
2016/1/29,761.349976,23.459999,112.209999,29.51,17.690555,75.599998,91.839996,40.072217,59.482709,82.574877,1293.790326
2016/2/1,770.77002,23.940001,115.089996,29.57,17.49223,75.650002,94.089996,39.9425,60.418816,82.455625,1309.419186
2016/2/2,780.909973,23.290001,114.610001,29.059999,16.936922,74.239998,91.489998,38.88482,59.273579,81.660582,1310.355873
2016/2/3,749.380005,23.5,112.690002,27.68,17.135247,76.199997,90.739998,38.894796,59.403042,81.640709,1277.263796
2016/2/4,730.030029,23.49,110.489998,29.15,17.402984,77.010002,89.709999,39.643157,59.900972,82.286681,1259.113822
2016/2/5,703.76001,23.200001,104.07,27.969999,17.4129,75.669998,82.790001,38.765079,58.297637,80.805913,1212.741538
2016/2/8,704.159973,22.48,99.75,27.049999,17.264157,71.769997,83.32,38.266172,55.807988,80.746287,1200.614573
2016/2/9,701.02002,22.01,99.540001,26.82,16.857592,72.620003,86.129997,38.425822,57.690162,80.169881,1201.283478
2016/2/10,706.849976,22.32,101,27.1,16.867508,73.790001,88.449997,38.88482,57.162358,80.328893,1212.753553
2016/2/11,706.359985,22.08,101.910004,26.76,16.738596,74.160004,86.349998,38.375932,56.206329,79.712734,1208.653582
2016/2/12,706.890015,22.49,102.010002,27.040001,17.4129,76.970001,87.400002,39.293923,57.331652,81.233248,1218.071744
2016/2/16,717.640015,22.950001,101.610001,29.280001,18.245864,79.68,89.050003,40.740755,58.407182,83.260601,1240.864423
