Date,VXST_9d,VIX_30d,VXV_3m,VXM_6m
2011/8/17,31.22 ,31.58 ,30.03 ,29.53 
2011/8/18,46.55 ,42.67 ,36.60 ,33.23 
2011/8/19,47.41 ,43.05 ,37.90 ,35.13 
2011/8/22,44.57 ,42.44 ,38.26 ,35.19 
2011/8/23,37.81 ,36.27 ,34.79 ,33.21 
2011/8/24,37.43 ,35.90 ,34.80 ,33.35 
2011/8/25,44.08 ,39.76 ,36.61 ,34.67 
2011/8/26,36.34 ,35.59 ,34.41 ,33.25 
2011/8/29,33.39 ,32.28 ,31.98 ,31.76 
2011/8/30,34.67 ,32.89 ,32.47 ,32.16 
2011/8/31,32.33 ,31.62 ,31.67 ,31.59 
2011/9/1,31.78 ,31.82 ,31.99 ,31.88 
2011/9/2,31.94 ,33.92 ,33.79 ,32.99 
2011/9/5,31.94 ,33.92 ,33.79 ,32.99 
2011/9/6,39.24 ,37.00 ,35.38 ,34.23 
2011/9/7,32.44 ,33.38 ,32.96 ,32.14 
2011/9/8,34.41 ,34.32 ,33.71 ,33.14 
2011/9/9,40.42 ,38.52 ,36.64 ,35.32 
2011/9/12,40.45 ,38.59 ,37.06 ,35.77 
2011/9/13,37.63 ,36.91 ,36.06 ,35.32 
2011/9/14,35.03 ,34.60 ,34.96 ,34.02 
2011/9/15,32.79 ,31.97 ,33.52 ,33.44 
2011/9/16,32.52 ,30.98 ,32.95 ,33.02 
2011/9/19,34.60 ,32.73 ,33.81 ,33.78 
2011/9/20,34.49 ,32.86 ,33.62 ,33.57 
2011/9/21,37.76 ,37.32 ,36.19 ,35.63 
2011/9/22,43.49 ,41.35 ,39.15 ,37.61 
2011/9/23,42.66 ,41.25 ,39.55 ,37.92 
2011/9/26,40.17 ,39.02 ,38.03 ,37.08 
2011/9/27,38.93 ,37.71 ,37.21 ,36.54 
2011/9/28,42.81 ,41.08 ,39.52 ,38.21 
2011/9/29,39.79 ,38.84 ,38.18 ,37.20 
2011/9/30,43.73 ,42.96 ,41.24 ,39.23 
2011/10/3,48.64 ,45.45 ,43.38 ,41.36 
2011/10/4,41.47 ,40.82 ,40.45 ,39.13 
2011/10/5,37.58 ,37.81 ,38.31 ,37.86 
2011/10/6,34.96 ,36.27 ,37.04 ,36.91 
2011/10/7,33.62 ,36.20 ,37.31 ,37.25 
2011/10/10,31.30 ,33.02 ,34.79 ,35.17 
2011/10/11,30.01 ,32.86 ,34.06 ,34.81 
2011/10/12,29.02 ,31.26 ,32.97 ,33.39 
2011/10/13,27.71 ,30.70 ,32.71 ,33.29 
2011/10/14,26.49 ,28.24 ,30.39 ,31.67 
2011/10/17,33.95 ,33.39 ,33.60 ,33.81 
2011/10/18,32.21 ,31.56 ,31.98 ,32.87 
2011/10/19,34.70 ,34.44 ,34.39 ,34.57 
2011/10/20,36.70 ,34.78 ,34.20 ,34.51 
2011/10/21,32.15 ,31.32 ,31.97 ,32.98 
2011/10/24,30.19 ,29.26 ,30.47 ,31.80 
2011/10/25,33.57 ,32.22 ,32.36 ,33.12 
2011/10/26,30.33 ,29.86 ,30.94 ,31.82 
2011/10/27,24.95 ,25.46 ,27.03 ,28.76 
2011/10/28,23.03 ,24.53 ,26.52 ,28.31 
2011/10/31,30.88 ,29.96 ,30.37 ,30.99 
2011/11/1,36.72 ,34.77 ,34.02 ,34.50 
2011/11/2,33.06 ,32.74 ,32.88 ,33.64 
2011/11/3,29.50 ,30.50 ,31.62 ,32.45 
2011/11/4,28.43 ,30.16 ,31.23 ,32.46 
2011/11/7,28.39 ,29.85 ,31.38 ,32.33 
2011/11/8,24.57 ,27.48 ,29.52 ,31.17 
2011/11/9,38.14 ,36.16 ,35.49 ,35.55 
2011/11/10,32.13 ,32.81 ,33.75 ,34.70 
2011/11/11,28.03 ,30.04 ,31.60 ,33.31 
2011/11/14,31.23 ,31.13 ,32.72 ,33.88 
2011/11/15,31.57 ,31.22 ,32.52 ,33.79 
2011/11/16,34.12 ,33.51 ,34.39 ,35.14 
2011/11/17,32.62 ,34.51 ,35.32 ,36.14 
2011/11/18,30.26 ,32.00 ,34.20 ,35.55 
2011/11/21,33.34 ,32.91 ,34.78 ,36.17 
2011/11/22,31.03 ,31.97 ,34.24 ,35.69 
2011/11/23,33.60 ,33.98 ,35.87 ,37.05 
2011/11/24,33.60 ,33.98 ,35.87 ,37.05 
2011/11/25,33.95 ,34.47 ,36.45 ,37.83 
2011/11/28,31.88 ,32.13 ,33.94 ,35.10 
2011/11/29,30.40 ,30.64 ,33.21 ,34.64 
2011/11/30,27.43 ,27.80 ,30.58 ,31.94 
2011/12/1,27.00 ,27.41 ,30.03 ,31.92 
2011/12/2,27.78 ,27.52 ,29.85 ,31.53 
2011/12/5,28.84 ,27.84 ,29.90 ,31.41 
2011/12/6,28.50 ,28.13 ,30.16 ,31.60 
2011/12/7,30.19 ,28.67 ,30.62 ,31.96 
2011/12/8,31.62 ,30.59 ,32.09 ,33.23 
2011/12/9,24.44 ,26.38 ,29.53 ,31.25 
2011/12/12,25.99 ,25.67 ,30.17 ,31.55 
2011/12/13,25.63 ,25.41 ,30.17 ,31.85 
2011/12/14,25.62 ,26.04 ,30.42 ,31.95 
2011/12/15,24.07 ,25.11 ,29.46 ,31.37 
2011/12/16,22.76 ,24.29 ,29.03 ,31.92 
2011/12/19,23.16 ,24.92 ,28.74 ,31.49 
2011/12/20,21.55 ,23.22 ,26.87 ,29.52 
2011/12/21,20.62 ,21.43 ,25.56 ,28.56 
2011/12/22,19.72 ,21.16 ,25.28 ,28.06 
2011/12/23,17.81 ,20.73 ,25.22 ,27.96 
2011/12/26,17.81 ,20.73 ,25.22 ,27.96 
2011/12/27,20.60 ,21.91 ,25.54 ,28.09 
2011/12/28,22.42 ,23.52 ,26.75 ,29.02 
2011/12/29,19.42 ,22.65 ,26.25 ,28.52 
2011/12/30,19.36 ,23.40 ,26.86 ,28.34 
