Code;VSMI01M;VSMI02M;VSMI03M;VSMI01Q;VSMI02Q;VSMI03Q
26.12.11;15.0752;17.4499;19.0971;21.1881;17.4901;22.9362
27.12.11;15.8147;17.6888;19.2921;21.1674;17.5706;22.7123
28.12.11;16.393;18.1553;19.5747;21.3025;17.8202;22.7878
29.12.11;16.6716;18.4719;20.0387;21.6655;17.936;23.0899
30.12.11;16.6092;18.3216;19.9239;21.4727;17.9189;23.1078
02.01.12;16.6092;18.3216;19.9239;21.4727;17.9189;23.1078
03.01.12;16.214;17.7456;19.3351;20.9631;17.795;22.7543
04.01.12;16.1343;17.6844;19.1225;20.7717;17.6616;22.4717
05.01.12;16.9095;17.9088;19.5491;21.163;18.0513;22.7332
06.01.12;16.5941;17.6412;19.3795;21.0131;18.0589;22.8911
09.01.12;18.0052;17.9511;19.6272;21.2002;18.1138;22.8317
10.01.12;16.5871;17.0313;18.7566;20.4504;18.0804;22.7603
11.01.12;17.4333;17.4639;19.3021;20.9986;17.9319;22.562
12.01.12;17.3064;17.3438;19.0986;20.7924;18.0467;22.6989
13.01.12;17.6225;17.8348;19.6484;20.9293;17.9776;22.4636
16.01.12;19.199;17.6539;19.2997;20.8818;18.1196;22.8034
17.01.12;19.4473;17.0971;18.7144;20.4693;17.9222;22.4085
18.01.12;19.8916;16.4757;18.1221;19.9184;17.7505;22.0936
19.01.12;19.8916;15.5541;17.3382;19.3037;17.3989;21.5391
20.01.12;19.8916;15.0312;17.1844;19.2591;17.2263;21.0834
23.01.12;15.0221;17.2052;17.1844;19.2109;17.4664;21.1823
24.01.12;15.3199;17.238;17.5067;19.1371;17.4642;21.0546
25.01.12;16.1023;17.7682;17.721;19.4248;17.4672;21.0853
26.01.12;15.7171;17.2821;17.6444;19.2547;17.4775;21.0556
27.01.12;15.9682;17.5735;17.6343;19.3475;17.3952;20.8311
30.01.12;17.9951;19.0333;18.1903;19.8818;17.5096;21.2009
31.01.12;17.5151;18.5662;18.3972;19.9615;17.6987;21.3235
01.02.12;17.0033;17.6852;18.3098;19.2196;17.6428;21.2823
02.02.12;17.2706;17.8438;17.6842;19.0504;17.4427;20.8906
03.02.12;16.2383;16.7043;17.2769;18.3584;17.3602;20.7569
06.02.12;18.0389;17.4083;17.2571;18.4544;17.2273;20.5333
07.02.12;18.2139;17.6442;17.3817;18.4684;17.1987;20.5765
08.02.12;18.7066;17.7162;17.3225;18.392;17.0977;20.3174
09.02.12;18.7437;17.6127;17.3487;18.3651;17.0489;20.0314
10.02.12;19.497;19.009;18.313;19.1752;17.5243;20.4408
13.02.12;20.4752;18.5994;18.0811;19.1342;17.4171;20.525
14.02.12;18.8967;18.3707;18.0741;19.1435;17.3053;20.5427
15.02.12;19.5889;17.9564;17.6777;18.8067;17.1676;20.3773
16.02.12;19.5889;18.0605;17.9191;19.0085;17.2973;20.3835
17.02.12;19.5889;16.6354;16.7787;18.2997;16.9838;20.1476
20.02.12;16.6265;16.495;16.7787;18.2327;16.9322;19.9701
21.02.12;16.3072;16.2505;16.4398;18.0211;16.954;19.8797
22.02.12;16.6079;16.4608;16.3583;18.1736;16.9947;19.8978
23.02.12;16.2766;16.2964;16.4901;18.085;16.9707;19.9509
24.02.12;15.1953;15.7519;16.2596;17.7301;16.7816;19.789
27.02.12;16.3663;16.2293;16.585;18.0164;16.9805;19.8667
28.02.12;16.2442;16.2147;16.5513;18.2242;17.1072;19.9949
29.02.12;16.1516;16.038;16.6118;18.2302;17.0103;19.9957
01.03.12;15.8365;15.7974;16.4488;17.8893;16.8934;19.9405
02.03.12;15.6513;15.4015;16.2123;17.7989;16.7862;19.8356
05.03.12;17.2547;15.9749;16.4294;18.0753;16.9333;19.9817
06.03.12;22.2148;18.3879;17.9264;19.9088;17.8738;21.0227
07.03.12;20.8003;17.83;18.1884;19.5664;17.6497;20.8595
08.03.12;17.3191;16.2066;17.5283;18.2922;17.0596;20.0712
09.03.12;14.6446;14.8331;16.2774;17.3755;16.5849;19.4868
12.03.12;16.4989;15.0762;15.9735;17.4517;16.7703;19.6282
13.03.12;17.628;14.036;14.9789;16.6622;16.2419;19.2294
14.03.12;18.2517;14.2128;14.9388;16.4768;16.1257;19.0648
15.03.12;18.2517;13.7504;14.7487;16.1267;15.9902;18.9388
16.03.12;18.2517;13.4196;14.5659;16.101;16.2343;18.8463
19.03.12;13.3856;14.517;16.2074;16.3197;18.8752;18.8463
20.03.12;14.1029;14.952;16.5432;16.6773;19.1175;11.6476
21.03.12;14.2273;15.1304;16.641;16.775;19.1265;11.697
22.03.12;15.373;15.9117;17.1516;16.9119;19.4389;11.9818
23.03.12;15.0492;15.8043;17.0254;16.6888;19.2635;11.9298
26.03.12;14.3877;14.9763;16.292;16.4436;19.0269;17.9523
